跳百分比,跳,发,实际比,相差
0,0,1,0,0
1,1,99,1,0
2,1,49,2,0
3,1,32,3,0
4,1,24,4,0
5,1,19,5,0
6,1,15,6,0
7,1,13,7,0
8,1,11,8,0
9,1,10,9,0
10,1,9,10,0
11,1,8,11,0
12,1,7,12,0
13,2,13,13,0
14,1,6,14,0
15,2,11,15,0
16,1,5,16,0
17,2,9,18,1
18,2,9,18,0
19,1,4,20,1
20,1,4,20,0
21,2,7,22,1
22,2,7,22,0
23,1,3,25,2
24,1,3,25,1
25,1,3,25,0
26,2,5,28,2
27,2,5,28,1
28,2,5,28,0
29,1,2,33,4
30,1,2,33,3
31,1,2,33,2
32,1,2,33,1
33,1,2,33,0
34,2,3,40,6
35,2,3,40,5
36,2,3,40,4
37,2,3,40,3
38,2,3,40,2
39,2,3,40,1
40,2,3,40,0
41,1,1,50,9
42,1,1,50,8
43,1,1,50,7
44,1,1,50,6
45,1,1,50,5
46,1,1,50,4
47,1,1,50,3
48,1,1,50,2
49,1,1,50,1
50,1,1,50,0
51,1,1,50,-1
52,1,1,50,-2
53,1,1,50,-3
54,1,1,50,-4
55,1,1,50,-5
56,1,1,50,-6
57,1,1,50,-7
58,1,1,50,-8
59,1,1,50,-9
60,3,2,60,0
61,3,2,60,-1
62,3,2,60,-2
63,3,2,60,-3
64,3,2,60,-4
65,3,2,60,-5
66,3,2,60,-6
67,2,1,66,-1
68,2,1,66,-2
69,2,1,66,-3
70,2,1,66,-4
71,2,1,66,-5
72,5,2,71,-1
73,5,2,71,-2
74,5,2,71,-3
75,3,1,75,0
76,3,1,75,-1
77,3,1,75,-2
78,7,2,77,-1
79,7,2,77,-2
80,4,1,80,0
81,4,1,80,-1
82,9,2,81,-1
83,9,2,81,-2
84,5,1,83,-1
85,11,2,84,-1
86,6,1,85,-1
87,13,2,86,-1
88,7,1,87,-1
89,8,1,88,-1
90,9,1,90,0
91,10,1,90,-1
92,23,2,92,0
93,13,1,92,-1
94,15,1,93,-1
95,19,1,95,0
96,24,1,96,0
97,32,1,96,-1
98,49,1,98,0
99,99,1,99,0
100,0,1,0,-100
